Timestamp,Person,Posture,Angle_Left,Angle_Right,Keypoints
2025-06-26 10:23:29,1,Full body not detected,NA,NA,"[[322.2620544433594, 261.12646484375], [348.0527038574219, 223.99002075195312], [284.665283203125, 225.0483856201172], [383.75860595703125, 242.47413635253906], [224.2985076904297, 249.5853271484375], [509.80426025390625, 451.4617919921875], [112.15164184570312, 453.4156494140625], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]"
2025-06-26 10:23:30,1,Full body not detected,NA,NA,"[[467.1304016113281, 264.3260498046875], [508.4243469238281, 226.69851684570312], [435.0075988769531, 229.211181640625], [567.6503295898438, 258.8764343261719], [391.3057861328125, 261.8874206542969], [622.0840454101562, 433.1416931152344], [298.7994689941406, 455.52197265625], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]"
2025-06-26 10:23:30,2,Full body not detected,NA,NA,"[[466.3859558105469, 263.91412353515625], [512.824951171875, 223.1416015625], [432.70684814453125, 222.6866455078125], [577.4468994140625, 264.1689758300781], [378.8080749511719, 262.319580078125], [0.0, 0.0], [279.5986022949219, 476.6152038574219], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]"
2025-06-26 10:23:31,1,Full body not detected,NA,NA,"[[293.9828186035156, 199.38565063476562], [0.0, 0.0], [280.7650451660156, 178.25393676757812], [0.0, 0.0], [228.2192840576172, 191.0771484375], [271.84503173828125, 321.7799377441406], [153.05763244628906, 321.0118103027344], [0.0, 0.0], [182.3133087158203, 387.7996520996094], [0.0, 0.0], [272.9194030761719, 277.03240966796875], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]"
2025-06-26 10:23:33,1,Full body not detected,NA,NA,"[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]"
2025-06-26 10:23:36,1,Full body not detected,NA,NA,"[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]"
2025-06-26 10:23:38,1,Full body not detected,NA,NA,"[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]"
2025-06-26 10:23:41,1,Full body not detected,NA,NA,"[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]"
2025-06-26 10:23:56,1,Full body not detected,NA,NA,"[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]"
2025-06-26 10:24:09,1,Full body not detected,NA,NA,"[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [212.66839599609375, 244.22940063476562], [209.6558837890625, 255.17062377929688], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]"
2025-06-26 10:24:09,2,Full body not detected,NA,NA,"[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]"
2025-06-26 10:24:10,1,Full body not detected,NA,NA,"[[489.85107421875, 344.7665710449219], [526.4847412109375, 305.47808837890625], [453.84246826171875, 302.95361328125], [565.6581420898438, 309.8534240722656], [391.4516296386719, 304.6976013183594], [596.8919677734375, 454.7381591796875], [283.63525390625, 441.606201171875], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]"
